20s,77.5,53.9,52.9,31.5,25.1,19.9,19.6,25.4
30s,87.7,69.3,60.2,49.3,41.9,31.5,26.3,25.5
40s,94.4,82.2,74.1,62.7,58.9,49.2,40,36
50s,95.9,90.2,84.3,76.8,68.2,55.9,48.1,41.5
60s,95.9,93.1,90.2,85.7,78.1,72.9,63.6,53.7
70s,85.1,92.5,89.6,82.9,84.2,79.5,74.2,68.1
80s~,86.9,87,84.8,70.3,71.1,66,63.1,65.8
