20s,28.3,10.1,4.7,3.9,1,-2.3,-1.2
30s,31.4,12.2,7.5,1.8,2,1.2,-0.2
40s,28.5,14.7,5.7,5,1.9,3.4,0.9
50s,20.3,14.7,1.8,8.9,2.6,1.8,1.4
60s,17.1,16.6,-8.3,16.5,-0.7,6,8.8
70s,13.1,16.1,-13.4,8.7,1.7,6.5,10.5
80s,9.2,10,-9.4,11.1,-3.3,2.9,4
