20s,-23.6,-1,-21.4,-6.4,-5.2,-0.3,5.8
30s,-18.4,-9.1,-10.9,-7.4,-10.4,-5.2,-0.8
40s,-12.2,-8.1,-11.4,-3.8,-9.7,-9.2,-4
50s,-5.7,-5.9,-7.5,-8.6,-12.3,-7.8,-6.6
60s,-2.8,-2.9,-4.5,-7.6,-5.2,-9.3,-9.9
70s,7.4,-2.9,-6.7,1.3,-4.7,-5.3,-6.1
80s,0.1,-2.2,-14.5,0.8,-5.1,-2.9,2.7
